Name,Job Title,Company,Software Usage,Overall Rating,Ease of Use,Customer Service,Features,Value for Money,Likelihood to Recommend,Source,Date,Overall,Pro,Cons
Lana M.,Agency Owner,"Public Relations and Communications, 1-10 employees",2+ years,5,4,4,5,3,7,GetApp,04/04/2018,,"We us Quickbooks for payroll and taxes. Our CPA handles everything else. I only get to use a very small portion of Quickbooks - only to write checks for payroll and to vendors. So far, it's not as complicated to use as when I first started using the program.","It has way too many options for the small people who only need to do 1-3 tasks. Other than that, it's a solid solution."
Sue G.,Owner,"Food & Beverages, 51-200 employees",1-2 years,5,5,,5,5,8,Capterra,23/12/2022,,"It's simple, intuitive, straightforward  and clean. ",Doesn't catch double posting of invoices 
Dina J.,Owner,"Hospital & Health Care, 11-50 employees",1-2 years,4,4,3,4,3,8,Capterra,25/10/2022,,QBO is easy to use and figure out. Not much training is necessary.,The recent price increase was not ideal.
Randhir S.,Account Officer,"Automotive, 51-200 employees",6-12 months,4,4,4,5,5,9,Capterra,25/02/2022,"My overall experience with QuickBooks was very good.
We were very benefited from its features of audit tool and reporting section.
I will recommend it to small and medium scale industries as this serves the purpose at a low-cost","It has excellent dashboard which can be customised very easily even by very new users. The report generation Is very simple and useful.
You can also generate reports like balance sheet, profit and loss statement, accounts receivable, accounts payable likewise reports on the click of a button.",The software is a equipped with some very good features but it comes with a shortcoming of productivity challenges.
Verified Reviewer,,"Consumer Services, Self-employed",6-12 months,5,5,5,5,4,8,GetApp,16/02/2022,It was really great and came in  a great deal when i was busy and couldn't keep up with all the number crunching .,That it has all  you could need in one app. It has many different tools to it to help you with your  numbers for your business,That it cost more then average . I wasn't busy enough at the time to pay for it . Versus doing it myself.
Jonathan G.,Owner/ Contractor,"Construction, 1-10 employees",2+ years,5,4,,4,3,8,Capterra,18/05/2021,"Good experience with it, I believe it could be more informative in some areas.",I do like all the features and how great it is for businesses. Quick Books online partnered with the mobile app is a great combination.,I'm not really that familiar with financial computer software. It can be confusing and frustrating at times.
Ashley M.,Accounting Manager,"Non-Profit Organization Management, 51-200 employees",6-12 months,5,5,5,4,5,10,Capterra,11/12/2019,"All in all, everything is great with this software.",I like the ease and functionality of the software.  Things are easy to find and the reports look professional and well presented.,The vendor search options could use some work.  I like being able to scroll and search vs. keyword search.
Mia C.,Front Desk Admin,"Law Practice, 11-50 employees",Less than 6 months,4,4,,4,,8,Capterra,11/12/2019,We now have cross platform communication that allows us to use this as a one stop shop for many of our business needs.,"I love the usability of the product. It is fairly easy to flow through out the product to make broad use of multiple features. The large and bolded font is helpful as well, when you use the product for several hours during the day.","Transferring into the program, previous invoices was a hassle with multiple error codes popping up that were confusing. It was difficult to trouble shoot because there were so many steps during the process, it was hard to pin point where the problems were occurring, and the error code, was not very informative."
Catherine S.,Accounting and Payroll Administrator,"Public Relations and Communications, 51-200 employees",6-12 months,4,5,,5,,9,Capterra,11/12/2019,,It is very easy to access anywhere having it online. The software is very easy to use and train others in. There are a lot of features that help our business in being successful. ,There are a few times where there are some glitches or where it takes a while to load something. 
Jennifer D.,Owner,"Retail, 11-50 employees",Less than 6 months,5,4,4,5,5,10,Capterra,11/12/2019,I wish the reporting would work correctly with our huge chart of accounts. ,"Fast, online back up, a lot more features.  Multiple users at one time. ","Have to log in and out a lot, freezes a lot. "
Stephanie V.,Accounts Payable/Receivable,"Construction, 1-10 employees",1-2 years,4,4,,4,,9,Capterra,11/12/2019,,This software has helped keep track of invoices and payments made,"Every now and then, certain things would not be available "
Bang V.,Travel Agent,"Transportation/Trucking/Railroad, 1-10 employees",6-12 months,5,5,2,5,2,6,Capterra,11/12/2019,,"I really like this software. It has helped me a lot in customer management and revenue management
","We can store customer data and take care of them very easily. If possible we wish it would assist with the one and feature for advertising to the customer. for example, mass messaging or mass email
"
Christopher C.,Regional Logistics Manager ,"Package/Freight Delivery, 11-50 employees",6-12 months,5,5,5,5,5,10,Capterra,11/12/2019,,"Extremely customizable. Easy to find what I'm looking for when i need it. Creating invoices is quick and easy, ",My only complaint is in the recent adjustments to the UI with no communication that tabs would be moved. Wasn't a big or difficult  deal but I had to put something here. 
Jessica C.,Office Manager,"Events Services, 11-50 employees",6-12 months,5,5,5,5,5,10,Capterra,11/12/2019,,I have enjoyed using QBO Advanced. It pretty much has everything I need right at my fingertips! The customer support is stellar.,"It's crazy to think this is a ""con,"" but sometimes there are too many options! I just have to take time to do the reading and research and decide if it's for me."
Michael M.,Owner,"Transportation/Trucking/Railroad, 1-10 employees",Less than 6 months,4,5,4,4,4,8,Capterra,11/12/2019,"Using the workflow for automated past due emails, it is helping with out collection process.","1.) I like the new batch entering of invoices 
2.) Workflow for automated past due invoice reminders.
3.) Custom Fields in invoices.","1.) For entering batch invoices, I do not like that I cannot add attachments.
2.) I would like to be able to batch enter 'bills' not only expenses. 
3.) I would like to be able to customize the bill enter screen more and be able to use custom fields in this section as well.
4.) I wish there was a native salesforce integration (like there are for many other CRMs)."
Brite B.,Number Crunchers,"Accounting, 11-50 employees",2+ years,5,4,4,5,5,10,GetApp,24/09/2018,,,
Lora D.,President,", Unspecified",2+ years,5,5,5,5,5,,Capterra,16/04/2018,,"What is liked the most is the page that lays out all of your options to select donations, credit card charges, billing, and etc.  It looks like a simple roadmap to quickly navigate you to where you need to get to.  ","So far, there are really no negative comments to make about this software.  Perhaps I can revisit this survey down the road should there be anything negative to share with users."
kalyn h.,Program Manager,"Philanthropy, 1-10 employees",2+ years,3,3,5,4,4,7,SoftwareAdvice,15/03/2018,,"love that this product is designed with nonprofits in mind. It helps track both income and expenses from which, you can pull itemized reports on your budget. ","Customizing reports in not very easy. We have had trouble pulling contact reports with donation information You can pull both of those separately, but when you try to make dynamic reports, things get a little choppy. "
Audrey H.,Administrative badass,"Philanthropy, 201-500 employees",2+ years,4,4,3,4,4,9,SoftwareAdvice,06/12/2017,I would like to see and update or a live help chat or option linked to the interface of the system.,"This system has an easy to use interface. Easy to learn, aesthetically pleasing and has a flow chart to help if a user has little familiarity to the system. ",I would have to say that the biggest concern and con I have with QuickBooks would be the support staff and wait time when calling in.
Brian H.,Treasurer/Grant Coordinator,"Philanthropy, 11-50 employees",1-2 years,5,4,,5,,10,SoftwareAdvice,10/08/2017,Overall a great program that allows us the functionality to apply it to our needs as a nonprofit.,"It is universally known and we can easily send info to our accountant come tax time.  Has a number of features, like allowing us to download our banking information, to ease input.  I don't have an accountant background, but was able to easily navigate around, once I got the hang of it.","We did not get the online version for added security and for cost.  We wish the online version was cheaper.  Other than that, no complaints."
Chelsea T.,Practice Manager,"Medical Practice, 1-10 employees",2+ years,5,5,5,5,5,10,Capterra,22/05/2023,"Our overall experience with Quickbooks is a cost-effective, easy to use solution for a small business owner without an accounting background.","User friendly interface, batch transaction tools, and inventory tracker. Having the ability to upload invoices in batches and input our inventory has saved us many hours. ","They are not integrated with every point of sale software, because of this we have to use a front end and back end POS which is not ideal."
Kara G.,Director of Finance,"Religious Institutions, 11-50 employees",2+ years,5,5,,4,,10,Capterra,09/02/2023,,"They have really improved the function of the online platform, it is almost as good as the desktop version. Integration with bank/cards is easy and it makes the process of entering transactions super easy! ",Wish it was slightly more customizable for donor tracking.
Verified Reviewer,,"Hospitality, 11-50 employees",6-12 months,3,4,4,3,3,3,Capterra,16/05/2022,,Creating Invoice and sending those invoice was the main feature we could use. Integration with our existing PMS was not possible ,Integration was not possible with our PMS. Due to this issue we had manually enter all details to QB
Richard R.,Finance Coordinator,"Education Management, 11-50 employees",6-12 months,5,4,5,5,5,9,Capterra,11/12/2019,I feel that as I continue to get more familiar with the software my level of understanding will improve and thus I will begin exploring more of the TONS of features in this great software.  This software is very impressive and I look forward to learning more.,Large amount of options and features to help you do everything you need done.  Very versatile software and easy to customize on the fly.,"The only ""con"" is more with me than the software.  There are so many features and things you can do that I sometimes feel overwhelmed and paranoid on messing something up and causing myself 2x the amount of work.  So I can't say this is the software's fault necessarily."
Heather P.,Controller,"Biotechnology, 11-50 employees",Less than 6 months,5,5,,5,,9,Capterra,11/12/2019,We recently upgraded from QBO to QBO Advanced.  We are still figuring out all of the new functions and features. It was very easy to upgrade ,"Easy to upgrade from QBO to QBO Advanced
Unlimited chart of accounts - we have a lot of old accounts we do not use anymore but we cannot delete them or we would be unable to run old financial statements. Having the ability to re-vamp our chart of accounts has been great
",We have haven't run in to any cons yet. 
Eleanor I.,Human Resources ,"Environmental Services, 51-200 employees",6-12 months,5,5,5,5,5,10,Capterra,11/12/2019,,"Going from the desktop version to this, I do not have an accounting background, this is a lot easier for me to use.  ","Searching vendors, you have to be very specific and the spelling or format has to be exact to find the vendor "
David N.,EVP,"Security and Investigations, 11-50 employees",6-12 months,5,4,4,4,5,9,Capterra,11/12/2019,,Easy to use and comprehensive services. ,"There is tremendous capability, and as a non-financial person, it can be almost overwhelming at times. "
Preston V.,Manager,"Transportation/Trucking/Railroad, 11-50 employees",6-12 months,5,5,4,4,5,10,Capterra,11/12/2019,"It helps with tracking production of employees, and search function for work completed is quick and easy to use ",Easy to use and understand the tools available,"It would be nice to have a simpler way to handle inventory needs, we currently utilize a 3rd party that feeds to QBO"
Jeremy C.,Owner,"Construction, 1-10 employees",1-2 years,5,5,5,5,5,10,Capterra,11/12/2019,,Quickbooks online is super easy to use. ,A lot of tools and hard to learn how to use them all.
Susan W.,Controller,"Marketing and Advertising, 1-10 employees",Less than 6 months,4,4,4,4,,8,Capterra,11/12/2019,"Timely reporting is easily accomplished with QBO.
","Quick Books is a dependable product.  If I don't know how to use its features, I just need to contact the Customer Service Dept. and they will assist me and help me accomplish the task at hand.
It is an online product that never seems to ""go down.""
QBO is always trying to make improvements and upgrades to the features of the software.",I don't like the fact that they raised the price for the new version to be double the price we were paying for the version we were using.  The upgrades that I have used thus far are not worth the extra cost of the product.
Steven H.,CFO,"Construction, 11-50 employees",1-2 years,4,4,,4,5,10,Capterra,11/12/2019,,"Ease of use
Automation
Continual improvement of features","Update feature needs constant attention
"
Gil B.,Admin asst,"Higher Education, 11-50 employees",2+ years,5,4,5,5,4,9,Capterra,27/11/2018,"I worked with QB for a non-profit for five years.  I had no previous financial or bookkeeping training or experience, but the software guided me well.   ",QB made managing the finances of our non-profit easy.    I was able to accomplish tasks that I had no previous expertise with.  ,"The learning curve is steep, if you want to use all the features "
Lin D.,Accountant,"Oil & Energy, 1001-5000 employees",6-12 months,5,5,4,5,4,8,SoftwareAdvice,16/09/2018,This is a very helpful software and I suggest people use it. ,"features are very Impressive. it is cloud-based so I can retrieve my work all the time.
Very good tax support as well.","A little bit longer learner curve. 
I hope the interface could look better. 
Some bugs happened during the time I use it."
Larry P.,Co Founder,"Computer Software, 11-50 employees",2+ years,4,3,3,4,4,7,GetApp,03/07/2018,,I am using QuickBooks for all my businesses. It is a great application because any public accountant would accept your data. It's pretty straightforward and easy to use.,There several issues with their interface. Mostly it can be hard to issue credits and refunds to customers. That procedure is not outlined well.
Kristie L.,Executive Director,"Philanthropy, 1-10 employees",2+ years,4,4,3,3,2,6,SoftwareAdvice,10/04/2018,If you are thinking about combining Windows 10 and Quickbooks for Non Profit - do your research,"very easy to use with a set format, easy to drill down on the financial statements, was great till I got windows 10","not much flexibility, frustrating when you want to change an account, the program doesn't seem to like Windows 10 and I have had to do some work arounds. "
Verified Reviewer,,"Management Consulting, Unspecified",1-2 years,4,4,4,4,4,9,GetApp,01/11/2017,,"Easy to use, even for people with not a lot of knowledge in accounting. It is easy to create invoices, send them and get paid by credit card with the app itself. You can pay your employees directly with the app. You can use it in french or english.","For Quebec companies, you have to manually create the tax code for Meals at 50%, it is not already in the app and it is not easy to do. Some options just work in the english version. The app is expensive when you want more options."
James v.,Product Manager,"Accounting, 51-200 employees",2+ years,5,5,5,5,5,10,GetApp,01/11/2017,,,
Dennis S.,,", Unspecified",2+ years,2,2,2,2,4,2,GetApp,27/06/2017,,,
Tricia R.,President,"Non-Profit Organization Management, Self-employed",2+ years,5,5,3,5,5,10,Capterra,20/10/2022,It works for my non-profit and seems universal,"Easy to use, dashboards and reports are very helpful for board meetings",It was very pricey to add one board member as a treasurer.  That is frustrating as a non-profit that is volunteer based.
Christine Y.,Digital Marketer,"Marketing and Advertising, Self-employed",6-12 months,5,5,,5,,8,Capterra,21/07/2022,,Quickbooks is by far the grand master of accounting services all available under your fingertips. I love how it's intuitive enough for non-accounting members to learn how to submit invoices and receipts for budgeting purposes. You're able to see all things financially related using the comfort of your phone rather than work behind a desk.,I wish there were memberships for smaller businesses with less revenue and employees. The cost can add up for much smaller businesses and having that option would cover a wider range of people.
Pedro E.,ACCOUNTS PAYABLE,"Accounting, 1-10 employees",6-12 months,5,5,,5,,10,Capterra,11/12/2019,It's faster and smoother than previous version making it easy to update the books quickly. ,I enjoy the practicality of being able to log in from any browser to check my books.  ,It does lack some of the batch options you get with QB Desktop. 
Claire B.,Director of Development,"Non-Profit Organization Management, 11-50 employees",2+ years,5,3,,4,,7,Capterra,29/03/2019,,"Probably the most popular and streamlined accounting software worldwide, and for good reason! Pretty easy to use and set up, and also flexible enough to adapt it to your specific needs.","Maybe not as high-performing or sophisticated as some other systems, but for SMEs, non-profits, etc, it's perfect!"
Christopher M.,Seasonal Worker,"Internet, 10,001+ employees",1-2 years,5,5,,5,,10,GetApp,28/02/2019,,The UI and navigation are very easy to use. You can see everything on one page and get more detailed information as you need it. Mobile use makes it accessible anywhere. Customizing invoices helps the payment process. ,"Biggest downside for me was that I was very new to using it and it was difficult. Another con is that there is no payroll, while, this is OK for me, if I choose later to have a payroll, I'll need to use a different product. "
Derek R.,Owner,"Philanthropy, 1-10 employees",2+ years,4,2,,4,,5,SoftwareAdvice,18/06/2018,,Product has a lot of features to handle all accounting needs of our business.  More features that I know what to do with!,"I feel like it's a little overwhelming to get use to.  Lots of features are a good thing when you are an accountant, but for a novice, it can be hard to navigate."
Verified Reviewer,,", Unspecified",6-12 months,3,3,2,3,2,4,GetApp,05/06/2018,,"Being an all-in-one program for accounting, including inventory, expenses, invoices, payments, etc is a great thing. Where most situations require multiple different types of software, Quickbooks is really a full-service solution, which is helpful.","While Quickbooks is a complete system, I suggest looking elsewhere. Support is slow, and generally doesn't seem very knowledgeable about their own products. The system itself can be slow, lagging randomly, and has some bugs that make using it a frustrating experience. There are plenty of other options out there now that perform much better, at a lower cost."
Jason B.,Pastor ,", Unspecified",1-2 years,4,4,,4,,,Capterra,20/03/2018,,"We had spent entirely too much money on having an in house book keeper and once we moved to this, it saved us time and money. ","The user interface could be a little more user friendly.  While they do a decent job, I can understand why others have said their staff and volunteers have had trouble. "
Verified Reviewer,,"Computer Software, Unspecified",1-2 years,5,5,5,5,5,9,Capterra,15/02/2018,,It saves a lot of time and you can customize everything and track all the information.  I love the feature of invoices.,I find it difficult to budget analysis and evaluation. It may also take time to get used to for a beginner but it's worth it.
Heidi K.,Treasurer,"Religious Institutions, 1-10 employees",Less than 6 months,5,4,5,5,5,9,Capterra,11/01/2018,Streamlining my work as treasurer. ,"I like how easy it is to find my way around. After several couple hour sessions from the former treasurer, I was up and running doing the books for my church. I'm still learning things along the way, but having fun figuring them out because help is pretty easily available -- and because I can intuit (!) much of what I need to use after learning the basics.  Oh, and I LOVE that I can export reports into Excel with the click of a button!! I also love that it keeps track easily of contributions from church members so all I have to do at the end of the year is hit a button to run contribution receipts for members. ","I wish I could tweak a few more things about the reports, but I know that the more customizeable something is, the more complicated it usually is. And the current programmed options are at least decent. So, I'm OK with the fact that I can at least export into Excel and customize whatever I need that way. "
Kathie B.,Executive Director,"Hospital & Health Care, 11-50 employees",2+ years,4,2,2,4,5,8,Capterra,07/06/2017,Reporting for grants and easily readable financial statements for board of directors ,Ease of use for multiple users. Good reporting. Memorized reports are very helpful for reports necessary for grant funding,Learning curve when not used to accounting software. Updates every year although good require installation time and learning. 
Ralston H.,Financial Accountant,"Environmental Services, 11-50 employees",Less than 6 months,5,5,,5,,10,Capterra,12/06/2023,My overall expense was very pleasant.  I am very happy with QB online advanced.,"QB was the first accounting software I was introduced to in late 1999 and I fell in love with it then.  I have used a few other software, but QB's ease of use is unmatched in the accounting industry!",I have a hard time running revenue by state.
Jason M.,Accountant,"Hospitality, 11-50 employees",2+ years,5,4,4,3,5,10,Capterra,05/03/2023,,It covers most of what you need from an accounting standpoint and it is easy to implement.,"The software does not allow the ""Back"" command to work in some instances where it would be useful."
Bobby G.,President,"Hospitality, 51-200 employees",2+ years,5,5,5,5,5,10,Capterra,14/09/2022,,The dedicated account manager is so important to us. I also like the added functionalities in the different platforms. ,None at the moment. More features similar to a desktop version would be nice. 
Pavel S.,Owner,"Restaurants, 1-10 employees",6-12 months,5,5,5,5,5,9,Capterra,08/07/2022,Still learning how to work but it's very easy to used ,The product is easy to use great interface and inexpensive ,Interface and a lot of options for used 
Misty S.,Culture Manager,"E-Learning, 11-50 employees",1-2 years,5,5,5,5,5,10,Capterra,11/12/2019,QBOA has really helped our company with in-house bookkeeping!,I am very happy with the customer service and technical support. There are so many resources to help familiarize myself with the software.,"I don't really have any cons. Sometimes I have issues with the search feature while looking for a specific Purchase Order by number and it is a little frustrating, especially because it is such a simple function/task."
Verified Reviewer,,", Unspecified",2+ years,5,5,,5,,10,GetApp,07/10/2018,,"I have used Quickbooks for years, daily, with my business. I love the features that keep me organized and able to see how my business is doing.","There was a learning curve in the beginning for sure, but the newest versions are always improving features."
Kevin V.,Software Architect,"Internet, 11-50 employees",2+ years,4,3,3,4,4,8,GetApp,10/04/2018,,"QuickBooks has most of the functionality needed to perform general accounting tasks. You can easily create employees, tasks, classes and so on. Most of these entities have a number of fields that can be set and you can customize your QuickBooks implementation to match your business.","The user interface can be daunting at times. There are different areas to find the type of objects you are looking for (for example, some list items like classes are under one menu, and other things like tasks are displayed elsewhere) If I haven't been using QuickBooks for awhile at times I'm searching different areas to find what I need."
Jennifer J.,admin,"Accounting, 51-200 employees",2+ years,5,5,5,4,3,9,Capterra,05/10/2017,,"you can access it from any computer and there is no download required, ease of reporting and input.  Very simply to customize.",Budget capability should be offered at all levels of membership.  Even if its a simply one it should be offered for NON PROFITS at least
Verified Reviewer,,"Accounting, Self-employed",2+ years,5,5,3,4,5,10,Capterra,03/03/2023,,"Easy to use, flexible, and low cost,  it requires minimal training. ","Multicurrency is very difficult to use.Easy to change and delete records, this is not good for control purposes."
Abdul L.,IT Consultant,"Information Technology and Services, 501-1000 employees",6-12 months,5,5,5,5,5,10,Capterra,15/02/2023,Excellent Product.,"Its, really User friendly, Easy to use for all","If incase of any issues, the Support team provides the valuable info."
Annie H.,office manager,"Accounting, 1-10 employees",Less than 6 months,5,5,4,5,5,10,Capterra,11/12/2019,"I have Quick Book products for many years and was very excited when I could get a product I could log into from any where I am, even when I am not in the office I can still conduct business.","I like the ease of use, the fact I can access the program from any place I am and so not need to be in the office at all times. I can track the financial status at all times any time of day. ",upgrades with out notification of changes.
Lindsey W.,Ministry Admin and Finance,"Non-Profit Organization Management, 11-50 employees",2+ years,5,5,5,4,4,9,Capterra,11/12/2019,,"Easy and Clear Instructions. Makes printing checks and invoicing a breeze. I also love how you can schedule our future payments, it helps me keep track.",There is nothing that I have come across that I don't like.
Dana B.,owner,"Construction, 1-10 employees",6-12 months,5,5,4,5,4,10,Capterra,11/12/2019,Good overall experience,The ability to track unlimited locations and classes,"Seemed pricey at the time, but worth the money in the end"
Verified Reviewer,,"Accounting, 201-500 employees",6-12 months,5,4,5,5,5,10,Capterra,11/12/2019,,"It is super user-friendly, with knowledgeable the support team/assistance when needed.",Uploading JE's and transactions sometimes need other paid applications.
Ashanti B.,Office Manager,"Construction, 1-10 employees",Less than 6 months,5,4,5,5,5,10,Capterra,11/12/2019,The transition from Quickbooks Desktop to Quickbooks online has been smooth. We are navigating and learning as we use it today today. ,I like using the batch invoices feature. It makes creating the same invoices easier.  It saves time and makes less room for mistakes. ,"I like the software. But some of the features and functions are difficult to find, but once you find them and are able to customize your dashboard, it becomes extremely easy. "
Steve T.,Treasurer,"Non-Profit Organization Management, 11-50 employees",2+ years,5,3,5,4,5,9,Capterra,30/08/2017,"Keeps track of financials, for making tax return","Keeps track of multiple bank accounts, but can combine them for reports. Easy to record transactions.",Understanding the canned Chart of Accounts. Trying to figure out how to make reports that give  you only what you need.
Matteo R.,Fotografo e Grafico,"Photography, Self-employed",I used a free trial,4,4,5,5,4,7,Capterra,14/07/2023,,è molto semplice da usare e mi piace la trasparenza per fare le mie transazioni e l'ottimo rapporto,Supporto clienti pessimo. Da sistemare immediatamente
Randolph G.,President/CEO,"Marketing and Advertising, 1-10 employees",2+ years,5,5,5,5,4,9,Capterra,09/04/2022,Excellent,"
The learning curb is very short if you already familiar with the Desktop versions","there was very little that I did not like about the software,"
Victor H.,Financial Analyst,"Accounting, 11-50 employees",6-12 months,5,5,5,5,5,7,Capterra,11/12/2019,,"Easy of use
Easy to navigate and pull reports a needed",Sometimes it can lock you out of certain areas when are you working in them. 
Al S.,Ops Manager,"Telecommunications, 11-50 employees",1-2 years,4,5,5,4,5,8,Capterra,11/12/2019,,Its really easy to learn how to use and to apply to the business. I use mainly for quoting and invoicing,its really hard to know the log behind each action meaning a quote has been modified and anyone can get to it and modify without you noticing. also I would like to be able to track project management which it can't be done
Amanda K.,owner,"Utilities, 1-10 employees",1-2 years,4,4,5,4,4,8,Capterra,11/12/2019,Overall this is a solid product that is easy to use.  I am not someone extremely knowledgeable about accounting and they really help me get the job done.,"The customer service is exceptional.  Every time I call the agent is knowledgeable, thorough, and I feel like my questions were answered completely","There are some functionality limitations, specific with user access.  "
Kaja K.,Office Coordinator,"Hospital & Health Care, 11-50 employees",6-12 months,4,3,4,4,3,7,Capterra,30/09/2019,"Overall, it's fine. I still prefer the ""not online"" version, but it is still QB. ","I like that I can access my quickbooks anywhere. Also, the feature to take a picture of receipts and scan them in to match with the bank feed is great.","Frequently, it downloads the bank feed data twice for one day. I have spent time with support and they cannot find out why. This creates extra work for me. Also, we were charged more than we thought we would pay and when I called they explained the hidden fees to me. "
Robin M.,Owner,"Media Production, 1-10 employees",6-12 months,4,4,,3,,7,Capterra,30/09/2019,QuickBooks has allowed my business to stay on top of our money in and money out.  Online access is key as I am always on the go on different devices.,"QuickBooks is a great  accounting software that allows you to track all of your expenses, invoices, etc.  Having a software such as QuickBooks is essential for small businesses.  It allows you to track everything you need and also sets reminders for payment, etc. ","While the software is robust and useful, there are not a lot of customization options for invoices.  "
Hannah S.,Financial Assistant,"Religious Institutions, 11-50 employees",6-12 months,4,4,,4,,9,Capterra,28/09/2019,"Overall though, this software is great for reporting. ",I like that this software offers many different reports and options for comparisons within the different reports. ,I do not like that the options for comparing within reports are not customizable and you are only limited to what they offer. It can make it difficult to see the numbers in a way the majority of the users will understand. 
Anna B.,Executive Director,"Philanthropy, 1-10 employees",2+ years,4,4,,4,,8,SoftwareAdvice,01/08/2018,,"Quickbooks is often simple to use, but it could be more user-friendly. There are not a lot of tips for ease of use.",There should be more self-explanatory ways to track grants and donors and tools to help manage your work.
Robin V.,Facility Manager,"Consumer Services, 11-50 employees",1-2 years,4,4,4,4,4,9,Capterra,19/05/2018,Makes fundraising easy to track and report for sure.,"I assist a family member with a non profit organization from time to time and she uses this product and was the one who introduced me to it.  I use the regular format for my job, but I really like the simplicity of the report aspect.",There isn't anything that I don't like about it.  It makes doing business easy.  I really like the self help section.
Laurie L.,Office Administrator,"Religious Institutions, 1-10 employees",2+ years,5,4,5,4,5,8,Capterra,07/10/2016,"Quickbooks Non-Profit has worked well for us in our church setting.  We were able to adapt it for fund accounting.  There is a very nice selection of reports which are easy to read, easy to modify and easy to export.","User friendly, inexpensive","Isn't set up for fund accounting, but is adaptible."
Karen P.,Owner,"Health, Wellness and Fitness, Self-employed",6-12 months,4,4,,4,4,7,Capterra,11/02/2022,I mainly use this for my accounting. It comes in handy and some things it can pick up on after using it a bit so you don't have to constantly tell it what you are going to want it to identify something as but it doesn't hook up to my sales software. ,Easy to use with my banking and multiple accounts,Would be nice to be able to use with Square Up system to not have to manually add sales
Jeff W.,Accountant,"Accounting, 1-10 employees",1-2 years,4,4,3,4,3,6,Capterra,22/02/2021,Good program overall.,Designed like all QB desktop software.  So easy to operate as long as you know non profit rules.,Isn't designed for non profits when activating.  You need to understand non profit rules otherwise you will make a lot of entry mistakes.
Verified Reviewer,,"Construction, 51-200 employees",Less than 6 months,5,5,5,5,,9,Capterra,11/12/2019,,I am old school -- many of the things I did with pen & paper was simplified with this software. It has made many day to day tasks much easier and time efficient. I job cost and use this software alongside our CRM. I have not encountered any issues with recording deals into the system.,There are time where the software takes time to load -- it may be an issue caused by our network -- or when I have to refresh the system due to a system error. It's very far and few 
Verified Reviewer,,", Unspecified",6-12 months,5,5,,5,5,8,GetApp,15/02/2019,,"Great product that meets all of my needs, with many of features that will help as my business grows. I use the app mainly for invoicing, which is very good and relatively easy once set up. The accounting side is an added bonus for me that should help keep accounting costs down as my business grows.","It was a little bit more complicated to set up than other similar apps. I expect this is related to the more robust offerings. However, once up and running this has not been an issue."
Neetika M.,Senior Finance Manager,"Philanthropy, 51-200 employees",2+ years,4,5,4,4,4,8,SoftwareAdvice,08/08/2018,,I love this software as this quite user friendly and easy to handle                                 ,Few feature missing like payroll can't be customized as per the country                             
Lisa K.,Grants Manager,"Philanthropy, 1-10 employees",2+ years,5,5,,5,,10,SoftwareAdvice,15/05/2018,,"- it is tailored made to use at Nonprofit organization
- easy reconciliation and easy to track
- friendly interface","- it might be the price but if you are Nonprofit, try to buy through Techsoup, it will be much cheaper"
Amy S.,Insurance advisor ,"Insurance, 51-200 employees",6-12 months,5,5,5,5,5,9,Capterra,25/02/2023,I am very happy we chose to use this software and believe it has made the job that much efficient. ,We recently started using quick books at our branch and so far we have got most of the employees working with it as it has been easy to use and understand. It makes working with numbers a lot easier and quicker. It is quick to access and work through. ,I can't yet comment on this because so far all has been good. 
Giulio G.,impiegato ,"Farming, 1001-5000 employees",2+ years,3,4,4,3,2,7,Capterra,01/02/2023,,prodotti interattivo con altri programmi ,installazione deve essere fatta da persona competente 
Linda N.,Operations Managr,"Arts and Crafts, 11-50 employees",6-12 months,4,4,2,4,4,8,Capterra,04/08/2022,Overall it has helped me answer my business owner's questions in minutes versus hours before.,"Advanced QB really helps you quickly identify where money is going, but you have to take time to learn about locations and classes and know how to set them up.",Connecting to my bank accounts and credit card often get broken. It has caused problems when I reconnect.
catherine c.,designer,"Design, Self-employed",Less than 6 months,1,2,1,1,1,0,SoftwareAdvice,01/07/2020,dire ,"interface 
 ease of invoicing 
ease of use","I would not recommend QuickBooks as an accounting package for small business. It just doesn't work properly, in particular the connections to banking, credit card and PayPal have not worked since March, and although the help desk are very polite, there is nothing being done about it, even though I have requested escalation frequently. connections to my bank account are also unreliable, I have not been able to connect to my bank since Monday to check if invoices have been paid. QuickBooks suggest using Csv files to copy data across, which is very cumbersome and time consuming.
It's just unusable as an accounting package for me until they get banking connections sorted out. 
I would not trust QuickBooks at all "
Anda M.,OPS Manager,"Health, Wellness and Fitness, 11-50 employees",Less than 6 months,4,4,4,4,4,6,Capterra,11/12/2019,I normally place purchase orders and pull reports. it has the report functionality that I need and makes my job easier ,It's easy to use and self explanatory. It's faster than QB Desktop version and it has the reports we need,"It was different than QB Desktop version and it took some time to get adjusted, but once I understood it, I realized it's much easier and more user friendly. "
Melissa B.,Accountant,"Computer Software, 51-200 employees",6-12 months,4,4,3,4,4,9,Capterra,11/12/2019,,"Ease of use, navigation and easy to learn",Not very useful for high level financial reporting
