Name,#Stars,Date Posted,Title,Description,Date of Experience,#Useful
Sara,5,2021-01-20,I have used Bark Box over the years to…,"I have used Bark Box over the years to spoil not only my dog but my children’s dogs as well.  They have never disappointed in the products they deliver.  I highly recommend their services to show your four legged family members the love!
Sara B",2021-01-20,0
Patricia,5,2021-01-20,My puppies love getting their Bark…,My puppies love getting their Bark Box!!! The toys she very durable and my 1 1/2 year old lab can't chew these open!! And they love the treats!!!!,2021-01-20,0
Linda,5,2021-01-20,January's Bark Box,This month's Bark box was great!  My dog actual knew what it was when I just sat it on the floor after it was delivered and he would not stop barking until I opened it.  Thank you for all you do to make it easy to spoil our 4-legged children.,2021-01-20,0
Niki,5,2021-01-20,Our pups love the bark box,Our pups love the bark box - the treats are always tasty and the toys provide endless hours of fun!,2021-01-20,0
Becca,3,2021-01-20,for my golden the bark box is perfect…,for my golden the bark box is perfect but i also have a shepherd. for her the barkbox is too soft but the superchewer most of the time is too tough. they need a sturdy medium in between box! The treats and chews are not great quality they dont last very long and they arent actually that healthy for dogs. Pea and pea protein has been shown to not be great for dogs especially larger breeds. I hope in the future they offer freeze dried or dehydrated fruits veggies or meat.,2021-01-20,0
Berry,5,2021-01-20,Lucy has crossed the rainbow bridge…,Lucy has crossed the rainbow bridge many years ago. My name is Bryan’s I am the lucky golden receiving the box. Please use your paws to put my name on the emails.,2021-01-20,0
Patrick,4,2021-01-20,I would have given 5 but January's toys…,I would have given 5 but January's toys didnt last more an hour before he get them apart. Usually they last awhile.,2021-01-20,0
Tracy,5,2021-01-20,We love bark box,"We love bark box. My pup ended up needing tougher toys and it was no problem to change to a super chewer box. Even still, he ended up not liking certain types of toys and after a quick email they only send the the kind he likes! The customer service is phenomenal. My only issue is I wish they had toy only box option. We have quite a stock pile of treats when we aren’t actively training, and i feel like we get too many.",2021-01-20,0
Shadai Clouden,1,2021-01-17,Highly Upset,"Really upset at the fact, I can’t cancel the six month plan entirely and only able to cancel the renewal. What the heck. I have one dog who does not chew through toys and does not eat a lot of treats. Way too much stuff in the boxes. I am so upset that I have to continue to pay and receive boxes till June despite not wanting them! The policy was not clear during sign up and it’s very misleading. This company is deceiving people and scamming, would not recommend to anyone.",2021-01-17,1
Dario Savino,1,2021-01-17,Do yourself a favor and stay away!,"I wanted to share my experience of why I just cancelled my auto renewal as well as the disappointment that I will continue to be charged fo the remainder of the year by this company. I had no issues with this company until recently. I went 11 months with no problems, until I never received December’s Barkbox even though I was charged. I was told a replacement box would be sent out which currently “it is”. I put that in quotations because my January box says delivered on the 15th but I never received it. The tracking number provides no results when I go to USPS to track it. Am I supposed to request a second box now just to go around in circles while your company continues to charge me and I get nothing in return? I was able to cancel the auto renewal but then it says I will still be charged another 11 months. Why would I want to continue doing business with you? Why does a company not allow you to cancel right then and there with no further engagement? They need money that bad? These business practices are awful. I do not recommend this subscription service.",2021-01-17,1
K.k. Lavine,5,2021-01-18,Great customer service,"So taken aback with how this company handled my situation. I had mistakenly signed up for the regular bark box instead of the super chewer box so upon signing up for the super chewer one, I emailed them telling them what happened. They told me the box had already shipped but that they refunded my payment anyway and to just donate the box if my dog doesn't like it! Astounding customer service. Thank you BarkBox!",2021-01-18,0
Krystin Vee,1,2021-01-20,No Option to Cancel = BAD BUSINESS,"They DO NOT have any option to cancel the service on their website and this is by design, they're one of those very shady companies who tries to lock you in to at least 6 months of service. So, you have to contact support to cancel. Support is trained to try to con you into believing you have to have to finish the x months commitment. This is simply shady business. No subscription worth keeping would have any such nonsense built in. Good subscription services have a cancel anytime feature built into the account section of their website. 

If they pull this shady tactic, state to them that will let your credit card company know they're refusing to stop charging you barkbox will suddenly remember how to cancel your subscription. Shame on them for treating their customers like they're stupid.

It turned out my dog doesn't go through toys fast enough to warrant a monthly delivery and I received a box with treats that were just too big or training (so I had to break them down). I asked if the service could be adjusted for just training sized treats. Through a bunch of super fluffy text, they said no and gave me some pretty 'meh' options. So, I decided to cancel. They tried to make it as hard as possible because they don't do good business. Shame on you barkbox.",2021-01-20,1
 Christee,5,2021-01-20,Great toys,"Great toys, they're tough and they're adorable! Always themed in some way which makes it a lot of fun. Our pup loves the treats, too.",2021-01-20,0
Alysa,5,2021-01-20,Everything has been excellent,Everything has been excellent and even when defective product has been sent out they did everything perfectly to replace the faulty items and inform us the product was defective before we gave it to our dog.,2021-01-20,0
Rosemarie,5,2021-01-20,Love our bark boxes Seamus knows it for…,Love our bark boxes Seamus knows it for him .❤️,2021-01-20,0
Robert,5,2021-01-20,Our furbaby really looks forward to her…,Our furbaby really looks forward to her surprises every month. 😊,2021-01-20,0
Jennifer,5,2021-01-20,Bark box customer service ALWAYS goes…,Bark box customer service ALWAYS goes above and way beyond expectations. By far the best company out there. I’d never use anyone else. Anytime there’s an issue it gets resolved immediately,2021-01-20,0
Jane Berdan,5,2021-01-20,Milo loves the chew toys and treats.,"Milo loves the chew toys and treats.
We've been very happy with everything that has come.",2021-01-20,0
Erin,4,2021-01-20,Toys are always super durable,Toys are always super durable. The treats are are so so. The moist one are great. The freeze dried and hard ones are not a favorite. Theme Boxes aren't always what you get. They are for new customers for whatever reason. However the toys are still cute.,2021-01-20,0
Heidi,3,2021-01-20,Sometimes the toys are good sometimes…,"Sometimes the toys are good sometimes not so good, she loves the treat toys and the ones with squeakers, hates the jaws one and a few others made of that material like the bee hive and the bolt. Sometimes a waste of money.",2021-01-20,0
Jennifer Wilson ,5,2021-01-20,WE LOVE BARKBOX!!!!,WE LOVE BARKBOX!!!!,2021-01-20,0
belinda,5,2021-01-20,lucy loves getting her barkbox !!,lucy loves getting her barkbox !!! she gets super excited,2021-01-20,0
Joe,2,2021-01-20,Toys didn't last the first day,Toys didn't last the first day. Very disappointing,2021-01-20,0
Karen ,5,2021-01-20,Great Products!,"We love our monthly orders and look forward to receiving them. If I could make one improvement, it would be to have the option of adding some more interactive toys for us. I think the Peanuts themed box has been our most favorite thus far!",2021-01-20,0
Margaret L,1,2020-12-28,They trap you and make it impossible to cancel,"Based on these other reviews I am not the only one. They make it impossible to cancel. I signed up for a “one month” holiday box to gift to someone so I was surprised to see that I was charged for another box the next month. When I contacted customer service they said they could not cancel the box even though it has not shipped yet. Further, Instead of cancelling my account on the spot as I requested, they sent me extremely complicated instructions to “reactivate and deactivate the auto-renewal as auto-renewal is enabled by default on the account and if not disabled through your online dashboard, it will keep on renewing every month.” Why not just cancel it like I asked instead of sending these complicated instructions— and by the way, I could not even locate where to do this on their mobile site. 

It is obvious they are TRYING to make it as hard as possible to cancel. Stay away!! I’ve told every pet owner I know not to bother, as it’s not worth the hassle.",2020-12-28,0
Peggy Dew,1,2020-12-28,Terrible customer service,Terrible customer service. Cannot recommend this company at all. The shipping is completely undependable. Consistently late and no box at all in December. Customer service is nonexistent. They do not care. Save your money and go to the store or try another service. Bark Box is no good.,2020-12-28,0
Mark,1,2020-12-29,I signed up in July for a 12-month…,"I signed up in July for a 12-month subscription.  The first box arrived on time, however, every box thereafter was late.  I contacted customer service in November and they sent the October box FEDX it arrived two days later.  The November box arrived in December and the December box was shipped and as of the 28th has never arrived and their customer service department has no idea when it might arrive or where it is.  I tried calling customer service, which was a horrible experience.  I did manage to live chat with John K on 28 December.  All he did was apologize etc.  I asked them to resend the December box like they did for the October box, but his excuse was they could not guarantee it would go FEDX.  When I pointed out that they did guarantee it in October he did not even acknowledge it.  Simple kept repeating the same thing that they were sorry.  Finally, he said he would refund the December box.  I again asked to have it sent FEDX and if he could not do that then cancel the rest of my subscription which still had 7 months left.  He cancelled the subscription.  I asked for confirmation of that, he said an email would be sent, which it wasn't.  This is a horrible company and customer service is indeed lacking.  Look elsewhere for a deliver service for your pups or simply buy toys at a discount store.  As far as treats go, they use the same treats over and over just different packaging for the monthly theme.  My dog does not like Duck and all they ever send is Duck.  If I could give this company 0 stars I would.  I would think that during this time of people staying home and looking for home delivery, a company like this would do more to keep customers than finding ways to drive them away.  Buyer beware.

Dec 30th still waiting....still waiting...still waiting.  Apparently, posting a ""we have sent you a request for more information so we can locate your account"" is a total waste of time.  How exactly should I contact you? Your live chat with customer service disconnects whenever I ask for a new box sent via FEDX.

Jan 5.  Still waiting.  Received yet another email containing the following statement from what is claimed is from the CEO: 

""The shipping industry continues to present us and the entire commerce industry with unprecedented challenges related to historical volume to all shipping networks and slower processing due to COVID-19 safety measures. We are working around the clock with our fulfillment and shipping partners to find more ways to improve your experience.""

When I told them what they can do to improve my experience, still no box, still no replacement box.  Yes, there are delays because of the holidays and yes the World understands Covid.  However, every other company provided updated information on their tracking and all other packages arrived.  There is no tracking for the ""supposed"" replacement December box.   I have tried the online chat three times and keep getting kicked out.  There is no other way to contact these people. And, what is supposed to be cute responses are irritating, especially when customers are upset.",2020-12-29,0
Anna Draper,1,2020-12-29,Is your grandma delivering barkbox with her golf cart?,"Dear Barkbox,

I have read many of the complaints on this page and I share most of them.  Rather than continue the redundancy, I would like to request on behalf of ALL your current and future customers that you PLEASE find a new ""shipping partner"".  Your grandma could deliver these Barkboxes faster.  It is nice that you are always trying to ""make things right"", but let us help you.  We don't want refunds and free boxes.  We want what we purchased--a monthly subscription.  We are experts on monthly subscriptions since COVID, and we know that COVID is no excuse because all of our other subscriptions are still arriving ON TIME.  Just out of curiosity...who is your shipping partner????  Or....is it really not your shipping partner that is the problem 🤔  We don't want you to go out of business, we think your business could have a lot of potential.  You need to get your act together PRONTO.  Charge an extra 5.00 for a better ""shipping partner"" if you have to.  What's wrong with UPS??  Affordable and reliable.  Many subscription boxes even do fine with USPS.  Can you reveal you secret shipping partner? ( We want to avoid them at all costs.)",2020-12-29,3
Matthew  MacWilliams,1,2020-12-30,I am still waiting for my first box and…,"I am still waiting for my first box and replacement box and even toy! The shipping has been saying the say thing for the last 12 days and now tracking is unavailable. I am also unable to get out the of subscription plan. I am pretty sure after the 6 months is over I am 100% not renewing my subscription. Unbelievable. I am pretty sure they do not send the box and lie about when it was shipped. How can tracking say, "" unavailable ""... its been stuck in ohio for two weeks and my replacement box and TOY is stuck in New Jersey.....SCAM SCAM SCAM. The hell with this company.",2020-12-30,3
Benji Breitbart,2,2021-01-04,Terrible Shipping and Awful Excuses,"They supposedly shipped my box a month ago and it has been sitting in Stockton for 3 weeks.  They keep blaming volume, but poor planning is not an excuse.

Then they blame COVID, which is just offensive. If no other retailer is having a problem, don't blame the pandemic. Using COVID as an excuse is just sad. They should just send a new one.

Mistakes happen, but instead of owning it they blame their shipping partners and COVID instead of just fixing it.",2021-01-04,1
Cathy H,1,2021-01-05,Unreliable delivery and horrible…,"Unreliable delivery and horrible customer service! I paid for 6-month subscription and only got 1 box in Nov. I am still waiting for the December box and reached out to their customer service twice. Got a ""cutesy, feel-good"" but lame standard email response apologizing for delays. Don't get sucked into this subscription. There are other pet toy delivery companies with far better track record than Bark Box.",2021-01-05,0
Jessica Iwachiw,1,2021-01-05,Replacement box also lost,"I wrote a previous review here about how the December bark box was lost in transit and never arrived. barkbox staff contacted me and told me they would send me a new one with an extra toy priority mail to make up for it. Well that was on 12/28... a label was created 12/29 just after midnight, and now nothing since. Hasn’t even been given to the shipping company. This is a joke 🙄 - I’m getting to the point where I won’t recommend them to friends anymore because this is absolutely ridiculous.",2021-01-05,0
Mariel Berry,1,2021-01-05,Bought 1 box for 1 time only,Bought 1 box for 1 time only. Paid $37.10 for it. Next month they charged me again as a recurrent payment. Thieves and dishonest!,2021-01-05,1
Jasmine Morales,1,2021-01-06,Wish I could give zero stars !!,"So I sighed up for the 6 month plan but I wasn’t satisfied with the toys my little chihuahua was ripping them apart and pulling out fur from them , he also didn’t like the treats. No problem I’ll just cancel right? Nope. I thought deactivating the renewal service canceled it but I got charged for a January box I didn’t want!! Talked to customer service and they said I was stuck in that 6 month plan with no refund available. The thing I canceled was the auto renewal for another 6 month plan they were gonna add after this one was done!! I was so angry what type of subscription can’t be canceled?? Apparently the lady “pulled some strings” 🙄and got me out of the “6 month commitment”  but she said there is no way to get a refund for the dumb January box I don’t even want.",2021-01-06,0
Doreen Duhaime,1,2021-01-06,Bark box customer service follow up is…,Bark box customer service follow up is among the worst I have ever encountered. I ordered a box as a gift for my new grand puppy on December 7th. Today is January 9th and it has still not arrived.the tracking only says it is “in transit”. It has said that since December 10th. Bark Box response is that they have no control. I will never order another thing from them and would never recommend them to any one!,2021-01-06,0
Kab Lumpkin,1,2021-01-06,Can I choose 0,"Can I choose 0?  Deceptive practices and horrible customer support that basically boils down to ""screw you we got your money so we don't care about your valid issues"".  DO NOT use this company.",2021-01-06,0
Kristin Williard,1,2021-01-08,This review is for the BarkShop portion of BarkBox,"This review is for BarkSHOP (part of BarkBox), whose new business model leaves a lot to be desired. I used to frequently order from this company without any problems, but for the past several months, ordering from BarkShop goes as follows:

1. Place an order.
2. Wait 2 to 4 weeks for the company to NEVER ship your package.
3. Battle customer service for a refund. 

That's all ordering from BarkShop is now. You place an order, they hold onto your money for a 2 to 4 weeks and never actually ship your package, and then you contact them to demand a refund. 

I'm not sure how this new business model is supposed to work for them in the long term, much less how it's supposed to generate revenue...but, that's the way they're doing business these days. In fact, that's the way they've been doing business for several months now. I just requested my THIRD consecutive refund for a package that never got shipped. That's THREE orders in a row that just never got shipped. I haven't been able to actually GET anything I've paid for from them since October. 

If you're a prospective customer, save yourself the headache and don't bother. They'll never actually send what you ordered. Instead of ordering from BarkShop, take the money you'd have spent with BarkShop out of your account at an ATM. Wait 2 to 4 weeks. Then, put the money back into your account. It's just like ordering from BarkShop without the added hassle.",2021-01-08,0
Barb Grafton,1,2021-01-10,nice product ruined by terrible customer service.,"I could not get them to understand I wanted two subscriptions of their dental kit for my 2 different dogs.  I received one dental kit and one toy kit.  I chatted online with a customer service rep, who would not or could not resolve the issue.  I continue to receive chatty emails  from them even though I have canceled all my subscriptions (I hope!)",2021-01-10,0
Sara,1,2021-01-11,I could ship something from the other side of the world and it could get through customs with Dhl International  and delivered quicker than with Pitney Bowes,"I echo what Anna stated below, Barkbox shipping partner is horrible! The customer service continues to blame covid however I did all my Christmas shopping online and yet UPS and FedEx was always on time. Usps was at most a day late. Yet for some reason it has taken Pitney Bowes over 6 days to get this months barkbox from Hebron Kentucky to Atlanta Georgia. It still states it hasn’t got there! Last month I ordered a birthday gift for my pup and they stated it would be there before her birthday yet it got there a week after. Every month it’s delivered later in the month. When you do the chat they state you don’t have a choice on who you ship with but I’ve had 2 boxes where they have been lost and yet the third time they shipped they used FedEx! I like the toys and I like the fact I don’t have to search the back of treat bags to see if my pup will have an allergic reaction from it because you can customize treats to your pups diet or allergies. However my disdain to the shipping partner is greater than my disdain to searching the pet treat isle.",2021-01-11,1
Dee Chan,1,2021-01-12,Sneaky business practices,"Barkbox is incredibly deceptive with their business practices. I signed up for a 6 month plan, meaning I only wanted this service for 6 months. They automatically renew without telling you that they are going to do so, and they do not make it clear upon initial subscription that automatic renewal is the norm. 
I am now stuck in another 6 months worth of subscriptions I was not initially interested in. It’s not even that I don’t like their products or services because I do, that’s just a lot of dog toys for my two dogs. 
The other thing they do that I don’t appreciate is they’ll send you a link to add on toys or treats for your upcoming box, and if you click to add said toy to your box it is automatically added. There is no second confirmation for this. So if you change your mind and close out the window, nope! You’ve already been charged for it.
This company really needs to change their business practices. I’ll never deal with them again once my subscription is up.",2021-01-12,0
Rebecca,1,2020-11-26,"Toys not good for big dogs, treats might by making my dog sick","We started a super chewer subscription around the beginning of the pandemic because we thought it would be exciting for him to get presents every month since we weren't going to the dog park anymore. Our pit mix was just over a year old and around 40 pounds at the time, but is super gentle with toys. We actually still have toys that we bought him from target when we first brought him home when he was four months old (now a year and 10 months). The toys from barkbox were destroyed within minutes of getting them, which is extremely disappointing since it is supposed to be a super chewer box. August was our last box, but I noticed when I was checking my account that it was set to auto renew in September, so I'm glad I cought it and was able to cancel before that happened, because they never sent an email telling me it was going to renew. There were always so many treats in the box, but they were dated for a year+ ahead so we always put them in the cabinet and forgot about them. We just recently started using them because we ran out of other treats and they don't expire until next year. All week he's been having diarrhea, throwing up, having accidents in the house, and waking up and crying to be let out in the middle of the night. Nothing else in his diet has changed and he doesn't have any allergies, so I'm starting to think that these treats are what has been making him sick, and I'll just be throwing out the rest. My subscription has been over for about three months now so I'm not looking for any refunds, but him getting sick reminded me of the poor quality of everything in this box",2020-11-26,0
WildRabikah,5,2020-11-27,Do you have a pet?,"Do you have a pet?

Chewy (.com) has great pricing, great service, and they sent me flowers after the passing of my dog… They also suggested I donate my extra food to a local humane shelter… They also refunded my order of food $40

TheFarmersDog (.com) has had the most healthy fresh food for my picky eater and they sent a beautiful condolence note

BarkBox (.com) let me cancel my subscription and we’re so professional and courteous 

I had very positive experiences with these companies 

🐶❣️🐾",2020-11-27,1
taniaestefani,1,2020-12-03,I am so disappointed in Bark Box,I am so disappointed in Bark Box. They somehow auto renewed my subscription without my knowledge for another 6 more months & was charged $135 . I tried to chat with representatives but everytime I asked for a refund they would disconnect with me. Don’t waste your money because they’ll steal from you.,2020-12-03,0
Sheri Muha,1,2020-12-05,Watch out!!,"Watch out!!! The subscriptions auto renew without notice!!!!

Feel like I was scammed!",2020-12-05,0
Lisa,1,2020-12-05,Deactivate auto renewal  loved this idea and even…,I initially loved this idea and even sent gifts to family members. UNFORTUNATELY I fell victim to the auto renewal and customer service will not let you out. No Compassion. Make sure you deactivate auto renewal!!!!,2020-12-05,0
Maureen Krasowski,1,2020-12-09,I cancelled my subscription according…,I cancelled my subscription according to their instructions. I got charged again the following month which put me in overdraft and they refused to refund my overdraft fees which was their mistake. Beware when trying to cancel.,2020-12-09,0
Allison Rockwell,1,2020-12-11,BUYERS BEWARE!!!,"BUYERS BEWARE!!!!  This product is NOT WORTH IT.  It is cute for a month or two, but not worth the money.  And when you realize it,  you will be stuck with a subscription that you can't cancel.  The customer service hides behind cutesie dog language, and acts like they are trying to be helpful while telling you that it is virtually impossible to cancel when you don't want the boxes anymore.  I was told I had signed up for an annual subscription, which I didn't realize I had done.  I was told I had to pay for a full year.  Then when a year was up, I was told that I had been re-enrolled in another year, that I couldn't cancel.  I threatened to cancel my credit card, and finally after 15 months of this, they agreed to cancel the subscription.  My dogs destroyed the dog toys in 24 hours. Not worth it!!!!",2020-12-11,0
Shannon James,1,2020-12-12,DONT CHOOSE BARBOX THEYRE THIEVES,"DONT CHOOSE BARBOX THEYRE THIEVES WHEN YOU TRY TO CANCEL. I've been with barkbox since 2017 (it's Dec 2020) and they keep renewing me. They PROMISED ME I would receive a previously paid for box that didn't arrive ""at the end of my subscription"". It ended LAST MONTH. So I would get my free box right? Well, instead they told me last month if I stayed ID KEEP GETTING MY GRANDFATHERED IN RATE - so I thought, okay, one more year - then they charge me $45 FOR DECEMBER'S BOX!!!!! I NORMALLY PAY $32!!!!!! So, I try to get it fixed and they're telling me TOO BAD YOUR LOCKED IN FOR ANOTHER YEAR. Now I need to take these jerks to court before they destroy my credit. It's not fair at all. I didn't agree to this. They claim they want people to be happy but they're straight ROBBING ME OF $120 AND WHEN I SAID NO, THEY'RE GOING TO ROB ME OF $600 OVER THE NEXT YEAR.",2020-12-12,0
Julie Back,5,2020-12-15,I have been receiving Barkbox for 3…,"I have been receiving Barkbox for 3 years for my dog, Ziggy. Even though we have WAY too many toys and snacks, I will not cancel my membership! Ziggy gets so excited every month when it comes. The quality is so great that I never have to throw out a toy. He even takes his toys and drops them into the neighbor's yard to share with his best friend, Bowser. Ziggy got a box today and has rotated through the toys, playing with each one, for the past 4 hours. If you love your dog, Barkbox is a must!!",2020-12-15,0
Christina Davis,1,2020-12-16,Reporting BarkBox to the BBB & FTC for Fraud.,"I will be reporting this company to my bank, the FTC, and the BBB for fraud; and I would suggest you do the same if you have a similar experience. This company is a scam and it needs to be stopped. I’ve been charged 2 months in a row and have not received either of my boxes. They are blaming it on COVID but have yet to fix the problem. I recently became unemployed and I am using my savings to finish paying for my subscription. I am holding up my end of the agreement by paying monthly for a subscription but BarkBox is failing to hold up their end of the agreement by providing the service and products that was agreed upon. These people do not care and need to be stopped so they cannot steal from or trick anyone else.",2020-12-16,0
Karlie Trefethen,1,2020-12-16,It’s a gimmick,"It’s a gimmick - cannot get out once you get in and it is impossible to contact their customer care. 
Go with KONG box, all day.",2020-12-16,0
Rach,1,2020-12-18,If I could give 0 stars I would,If I could give 0 stars I would. Take my advice and do not sign up for a subscription because you will be trapped into it. Barkbox does not have a 1800 number for you to talk to an actual live agent. They will not cancel any subscription even if you cannot afford anymore.,2020-12-18,0
Juan Butler,1,2020-12-19,If I could give it 0 stars I would,"If I could give it 0 stars I would.  The inconsistent delivery. The excuses. They get you locked in for a year so you’re stuck. I bet I could file a lawsuit saying they’re not living up to their end of the deal, but it’s not worth it for the amount left on subscription. You’re better off just ordering the stuff yourself on Amazon. Amazon delivers next day. I got an email on December 6th saying the box has shipped. It’s the 19th and still hasn’t arrived.  Check this out...

Friday, December 18
4:53 AM
Departed partner facility
Hebron, KY

Thursday, December 17
5:13 AM
Shipment info sent to carrier

Wednesday, December 16
5:19 PM
Initial Package Scan
Hebron, KY

Friday, December 4
6:21 PM
Electronic Shipping Info Received
2:18 AM
Label Created",2020-12-19,0
Barbara Gadus,1,2020-12-19,Delivery issues,I have been with barkbox for a long time my dog loves the boxes I have given these as gifts to clients dogs.  This year ordered boxes for Christmas gifts and barkbox said they would be delivered on December 17th for one client's box now its delayed with still in Kentucky and the other client's box is in Indiana supposedly to be delivered on December 20th and my own pumps box is still in Kentucky not sure what barkbox is doing or their carrier is doing but someone needs to figure this out quickly before these boxes do not make it before christmas.,2020-12-19,0
Dominik,1,2020-12-20,Be Careful What You Sign Up For,"It started off amazingly! Fist box came super fast, had premium toys, and my puppy loved every single item. Then I decided to pay the full subscription fee for 6 months upfront and everything went downhill from there. The toys in the boxes were not as great anymore and worst of all: shipping is constantly delayed by several days (of course they blame it on COVID because that’s very convenient). It’s now December 20 and my December box hasn’t arrived yet but thankfully I can already peek inside my January box (irony off). Of course I contacted their customer service and they’ve sent out a replacement box but also this one hasn’t arrived. My next step is to report them to the BBB because after they had the audacity to also DELETE my negative comment under their Instagram post I’ve just had enough. To all the readers: be smarter than I was and stay away from BarkBox!",2020-12-20,0
Vickie,1,2020-12-23,Shipping and customer service are HORRIBLE!,"The toys are great and our puppy loves them. However, the shipping is HORRIBLE! Tracking does not update and is never delivered as promised! BarkBox tries to blame it on COVID, but that cannot be the entire truth because other packages I order come quickly and in a timely manner. Maybe they need to change the way they ship!  Very disappointing our puppy may not have his box of Christmas treats and toys before Christmas! Get it together BarkBox! You don’t have a problem drafting my money on the first of the month so how about shipping my box just as quickly!",2020-12-23,0
laura mccormick,1,2020-09-05,Horrible company. Stay away,"Horrible company. Wonderful products. Horrific service. Love the toys. Love the treats. But you cannot cancel this subscription. At first I thought it was my fault. You have to go online and turn off the auto-renew before your introductory subscription expires. But I did that. It did not end. I texted their help text. Endless runaround and endless questions. Not cancelled. I emailed. 10 times. No response. I contacted CHAT. Again endless questions and not cancelled. I have finally stopped payment. That is the only way to stop. Wonderful products, but HORRIBLE company and the worst customer support system ever. They have a satisfaction guarantee...and if a toy breaks their chat support claims they will send a new toy. But instead they’ll waste your time, ask you endless questions. And they’ll never send a new toy. Stay away!",2020-09-05,2
Ashley,5,2020-09-12,"Love, Love, LOVE!","Hello, I’m reading through these reviews and it seems like most dog parents don’t do supervised play. I have a pure bred red nose pit and a lab pit mix. My subscription is to barkbox - my dogs LOVE squeaky toys and soft fluff most of the time. So I’m only paying for 1 subscription but I added the extra toy and recently added the double up option. The customer service team has helped me on multiple occasions. 

My first box was Christmas last year and I was worried it wasn’t going to make it Christmas Day for the puppies to open. I texted the bark team and they got on it like Snow at the North Pole. That box was somehow magically expedited to get there on Christmas Eve for Bane and Harley Quinn to open.

 I had a lost barkbox for July. Shipping delays due to Covid, a train collision in my area and delays from the mail man. I again reached out to their customer service reps and they were able to get me updates on the location, and sent us a free toy and treat for being so patient. There was another time that I wanted to switch up Harley’s diet since she seemed to be having an issue with chicken flavored treats. Again the team fixed my preferences for her and sent us some yummy Scooby Snacks! 

I had problems with the toys being destroyed at the beginning of my subscription because I wasn’t supervising my dogs play time. It took me 3 to 4 months to realize this. I keep the toys in a safe secure box in our living room and when it’s play time we close the doggy door and get the toys out. The back yard is all dirt and with the AZ sun the toys don’t stand a chance out there. So now we have a crap ton of toys built up in this box that won’t be destroyed! Yay problem solved! Lol 

I love this company, I advocate for this company, I can’t get enough BarkBox!! ♥️ I saw they have “Bark Eats” - can’t wait for it to arrive in AZ!! 😍

(I do not work for this company, I am just a dog parent that chose this company to spoil my pups. I do not have any family that works there or friends that work there. Even if I did, I’d be proud because they are working for an honest and caring company!!)",2020-09-12,0
Clarissa Henry,5,2020-09-12,I never write reviews but I have to say…,"I never write reviews but I have to say my experience was entirely different in a good way. I ordered 6 months of super chewer for my Aussie pup. He didn’t actually like them - so I went on the chat and asked them if I could just switch to the normal bark box. It was my fault - but they not only switched my subscription, they sent a couple plush toys just because. I have to say the toys have been very popular - he’s a 7 month fairly picky pup but he has been playing nonstop with the toys - he likes that they have lots of little nooks/strings to pull on. So my experience has been very good with Barkbox.",2020-09-12,0
Brooke Few,1,2020-09-23,I have a super chewer and classic…,"I have a super chewer and classic subscription. My dogs have a tendency to destroy the classic toys FAST.. as in minutes. When they have DESTROYED an entire classic box with MINUTEs of getting it.. they say they will replace and have before.. yet... the most recent fall box was destroyed.. all three toys. And they offered to replace ONLY ONE. I pay over 80 dollars for these every month. And I am LOCKED in! So, they definitely are racking up on dog lovers. And taking advantage of the love people have for their pets. As soon I my “CONTRACT” is over... I AM DONE WITH THIS JOKE OF A COMPANY! -Zeus & Willow",2020-09-23,0
Tumara,1,2020-09-23,Rip off…,Apparently I signed up for a six month service and can’t get it stopped. My Tiny dog easily destroy the toys Leaving dangerous parts around the house for my cats. They won’t stop charging me and sending them.,2020-09-23,0
Lisa Bohn,1,2020-10-04,Not a good experience and won’t let me…,Not a good experience and won’t let me terminate my subscription... continues to automatically renew😱,2020-10-04,0
William,1,2020-10-05,Barkbox is anti consumer,"Barkbox utilizes user hostile dark patterns to keep customers subscribed after they have tried to unsubscribe by soliciting what appears to be optional feedback in two separate and additional steps. I completed the optional feedback on the first step and then closed the window. Little did I know, barkbox had another feedback form that was required to ""complete""the cancelation even further. I later went back and checked. There are a total of 8 steps to cancel a subscription. Several of those steps are misleading. Now as for why I canceled in the first place, the quality of the toys is subpar and thus resulting in sometimes dangerous toys for dogs. The super chewer box is the worst offended. Do yourself a favor and stay away from this company.",2020-10-05,1
Law Ream,1,2020-10-06,"The Treats Make My Dogs Sick, and Their Shady Tactics Make Me Sick","I ordered the 6 month package at a 10% discount. My dogs absolutely love the toys, but the treats make my dogs sick. Diarrhea and vomiting... every time. Also, the treats always come in different packaging but are the same exact thing every month. I'm honestly impressed with their commitment to rebrand their treats every month, it's a pretty cool idea. But I am pretty sure they lie about the ingredients on the back. 

I logged in to cancel my subscription and realized I had one more box left so I didn't. Now that I received that last box I went to cancel my subscription and my account no longer exists, but they are still charging me and shipping boxes. There is no way to cancel. When I signed up for a new account under the same email address, they no longer have my order history or subscription status.",2020-10-06,1
Raymond West,1,2020-10-09,WARNING DO NOT SUBSCRIBE,"WARNING DO NOT SUBSCRIBE!  You cannot cancel at any time. If you forget to cancel it automatically renews for the entire length of the subscription not just month to month. If you cancel early you are billed for the rest of the subscription period! I’m not making this up. Read the terms of service. 
You CANNOT talk to a live person, ever. The closest you can come is a live chat.",2020-10-09,0
Lea Leah,5,2020-10-11,such a great concept!,My dog gets excited every month because of that box,2020-10-11,0
